Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;Degree variance;Normalized degree variance;Average difference of vertex probability;Vertex probability difference variance
2;170;0.02;0.00;411.55;18.05;4.84;0.21;0.03;0.00;0.19;0.72;0.212286715;0.000169337;-0.000000001;0
2;170;0.04;1.00;802.80;72.21;9.44;0.85;0.06;0.01;3.42;0.76;0.848127475;0.000303901;-0.000001237;0.000000013
2;170;0.06;1.00;1176.70;162.46;13.84;1.91;0.08;0.01;5.05;0.76;1.904464129;0.000394658;-0.000069233;0.00000053
2;170;0.08;1.00;1585.90;288.83;18.66;3.40;0.11;0.02;5.18;0.76;3.376199756;0.000819451;-0.000693307;0.00003096
2;170;0.10;1.00;1958.65;451.29;23.04;5.31;0.14;0.03;4.52;0.77;5.256198669;0.000925462;-0.002462028;0.000230872
2;170;0.12;1.00;2329.15;649.86;27.40;7.65;0.16;0.05;4.18;0.77;7.535286411;0.001085907;-0.004487084;0.000459624
2;170;0.14;1.00;2676.85;884.53;31.49;10.41;0.19;0.06;3.63;0.78;10.20224976;0.001218784;-0.005559561;0.000475587
2;170;0.16;1.00;3070.75;1155.30;36.13;13.59;0.21;0.08;3.30;0.78;13.24383672;0.001793016;-0.005841527;0.000417778
2;170;0.18;1.00;3432.20;1462.18;40.38;17.20;0.24;0.10;3.01;0.79;16.64475654;0.002161109;-0.005879591;0.000366994
2;170;0.20;1.00;3756.65;1805.16;44.20;21.24;0.26;0.13;2.82;0.79;20.38767969;0.002772893;-0.005882255;0.000326552
2;170;0.22;1.00;4076.85;2184.24;47.96;25.70;0.28;0.15;2.68;0.79;24.45323786;0.002768961;-0.005882351;0.000293548
2;170;0.24;1.00;4517.25;2599.43;53.14;30.58;0.31;0.18;2.46;0.80;28.820024;0.003510826;-0.005882353;0.000266083
2;170;0.26;1.00;4780.70;3050.72;56.24;35.89;0.33;0.21;2.31;0.80;33.46459228;0.00424217;-0.005882353;0.000242868
2;170;0.28;1.00;5125.60;3538.11;60.30;41.62;0.36;0.25;2.19;0.81;38.3614581;0.004803514;-0.005882353;0.000222986
2;170;0.30;1.00;5483.50;4061.61;64.51;47.78;0.38;0.28;2.10;0.81;43.48309808;0.004963228;-0.005882353;0.000205766
2;170;0.32;1.00;5677.70;4621.21;66.80;54.37;0.40;0.32;2.04;0.81;48.79995009;0.005813015;-0.005882353;0.000190707
2;170;0.34;1.00;6136.05;5216.91;72.19;61.38;0.43;0.36;1.89;0.82;54.28041324;0.007909612;-0.005882353;0.000177426
2;170;0.36;1.00;6360.80;5848.72;74.83;68.81;0.44;0.41;1.87;0.82;59.89084784;0.007781569;-0.005882353;0.000165624
2;170;0.38;1.00;6701.85;6516.62;78.85;76.67;0.47;0.45;1.79;0.82;65.59557546;0.008961446;-0.005882353;0.000155068
2;170;0.40;1.00;6982.50;7220.64;82.15;84.95;0.49;0.50;1.73;0.83;71.3568789;0.009634663;-0.005882353;0.00014557
2;170;0.42;1.00;7220.40;7960.75;84.95;93.66;0.50;0.55;1.68;0.83;77.13500217;0.010521607;-0.005882353;0.000136979
2;170;0.44;1.00;7560.85;8736.97;88.95;102.79;0.53;0.61;1.63;0.83;82.88815053;0.012006033;-0.005882416;0.000129169
2;170;0.46;1.00;7788.60;9549.29;91.63;112.34;0.54;0.66;1.58;0.84;88.57249047;0.012093217;-0.005892735;0.00012192
2;170;0.48;1.00;8052.05;10397.72;94.73;122.33;0.56;0.72;1.55;0.84;94.14214971;0.013234668;-0.006215891;0.000112662
2;170;0.50;1.00;8233.45;11282.24;96.86;132.73;0.57;0.79;1.52;0.85;99.54921721;0.01345831;-0.007787581;0.000126791
2;180;0.02;0.35;449.75;20.24;5.00;0.22;0.03;0.00;0.27;0.73;0.224848059;0.000147332;-0.000000001;0
2;180;0.04;1.00;895.70;80.98;9.95;0.90;0.06;0.01;3.10;0.76;0.898312533;0.00030591;-0.000001668;0.000000012
2;180;0.06;1.00;1327.55;182.20;14.75;2.02;0.08;0.01;4.73;0.76;2.017154314;0.000438807;-0.000088073;0.000000858
2;180;0.08;1.00;1774.15;323.91;19.71;3.60;0.11;0.02;5.25;0.77;3.575974889;0.000690026;-0.000817451;0.00004386
2;180;0.10;1.00;2212.65;506.11;24.59;5.62;0.14;0.03;4.65;0.77;5.567216341;0.000909621;-0.002670733;0.00027033
2;180;0.12;1.00;2616.65;728.80;29.07;8.10;0.16;0.05;4.06;0.77;7.981161347;0.001092033;-0.004522548;0.000457798
2;180;0.14;1.00;3015.20;991.98;33.50;11.02;0.19;0.06;3.62;0.78;10.80593318;0.001335636;-0.005354738;0.000441369
2;180;0.16;1.00;3416.05;1295.64;37.96;14.40;0.21;0.08;3.37;0.78;14.0274957;0.001482053;-0.005535026;0.000384154
2;180;0.18;1.00;3848.75;1639.80;42.76;18.22;0.24;0.10;3.04;0.79;17.62965338;0.001988164;-0.005554474;0.000337581
2;180;0.20;1.00;4244.25;2024.44;47.16;22.49;0.26;0.13;2.85;0.79;21.59405126;0.002600809;-0.005555527;0.000300505
2;180;0.22;1.00;4622.65;2449.58;51.36;27.22;0.29;0.15;2.63;0.79;25.90017501;0.003158061;-0.005555555;0.000270232
2;180;0.24;1.00;5004.60;2915.20;55.61;32.39;0.31;0.18;2.49;0.80;30.52535087;0.003722471;-0.005555556;0.000245038
2;180;0.26;1.00;5393.60;3421.31;59.93;38.01;0.33;0.21;2.36;0.80;35.44474567;0.004185278;-0.005555556;0.000223741
2;180;0.28;1.00;5722.00;3967.91;63.58;44.09;0.36;0.25;2.19;0.80;40.63136686;0.004790552;-0.005555556;0.0002055
2;180;0.30;1.00;6153.90;4555.00;68.38;50.61;0.38;0.28;2.12;0.81;46.05606246;0.006060295;-0.005555556;0.000189702
2;180;0.32;1.00;6463.95;5182.57;71.82;57.58;0.40;0.32;2.02;0.81;51.68752111;0.006606465;-0.005555556;0.000175885
2;180;0.34;1.00;6776.30;5850.64;75.29;65.01;0.42;0.36;1.95;0.82;57.49227201;0.006199663;-0.005555556;0.000163699
2;180;0.36;1.00;7249.25;6559.19;80.55;72.88;0.45;0.41;1.84;0.82;63.43468499;0.008636214;-0.005555556;0.000152871
2;180;0.38;1.00;7510.75;7308.24;83.45;81.20;0.47;0.45;1.79;0.82;69.47697046;0.008943995;-0.005555556;0.000143185
2;180;0.40;1.00;7844.30;8097.77;87.16;89.98;0.49;0.50;1.73;0.83;75.57917942;0.00988606;-0.005555556;0.00013447
2;180;0.42;1.00;8143.15;8927.79;90.48;99.20;0.51;0.55;1.68;0.83;81.69920348;0.010670358;-0.005555566;0.000126587
2;180;0.44;1.00;8472.00;9798.30;94.13;108.87;0.53;0.61;1.63;0.84;87.79277482;0.012118492;-0.005558781;0.000119386
2;180;0.46;1.00;8861.45;10709.30;98.46;118.99;0.55;0.66;1.57;0.84;93.81346624;0.01380215;-0.005743595;0.000111004
2;180;0.48;1.00;9187.25;11660.79;102.08;129.56;0.57;0.72;1.53;0.84;99.71269112;0.014661952;-0.007677336;0.000110815
2;180;0.50;1.00;9471.55;12652.76;105.24;140.59;0.59;0.79;1.50;0.85;105.4397034;0.015638208;-0.00987766;0.00020178
2;190;0.02;0.40;501.85;22.56;5.28;0.24;0.03;0.00;0.25;0.73;0.237409403;0.000146862;-0.000000001;0
2;190;0.04;1.00;998.15;90.25;10.51;0.95;0.06;0.01;3.70;0.75;0.94849759;0.000281692;-0.000002178;0.000000012
2;190;0.06;1.00;1493.90;203.07;15.73;2.14;0.08;0.01;5.25;0.76;2.129844499;0.00044767;-0.000108729;0.000001322
2;190;0.08;1.00;1973.75;361.01;20.78;3.80;0.11;0.02;5.07;0.77;3.775750023;0.000625031;-0.000938848;0.000058457
2;190;0.10;1.00;2461.10;564.07;25.91;5.94;0.14;0.03;4.53;0.77;5.878234014;0.00086628;-0.002837783;0.000301581
2;190;0.12;1.00;2926.00;812.27;30.80;8.55;0.16;0.05;3.91;0.77;8.427036283;0.001091427;-0.004501302;0.000445259
2;190;0.14;1.00;3363.30;1105.58;35.40;11.64;0.19;0.06;3.65;0.77;11.4096166;0.001188026;-0.005138585;0.000409219
2;190;0.16;1.00;3815.45;1444.03;40.16;15.20;0.21;0.08;3.40;0.78;14.81115468;0.001445767;-0.005252848;0.000354796
2;190;0.18;1.00;4282.55;1827.60;45.08;19.24;0.24;0.10;3.03;0.79;18.61455021;0.001970039;-0.005262734;0.000311923
2;190;0.20;1.00;4784.10;2256.29;50.36;23.75;0.27;0.13;2.83;0.79;22.80042284;0.002701995;-0.005263149;0.000277764
2;190;0.22;1.00;5150.40;2730.11;54.21;28.74;0.29;0.15;2.65;0.79;27.34711216;0.002976481;-0.005263158;0.000249865
2;190;0.24;1.00;5581.75;3249.06;58.76;34.20;0.31;0.18;2.46;0.80;32.23067773;0.003464389;-0.005263158;0.000226645
2;190;0.26;1.00;5982.75;3813.13;62.98;40.14;0.33;0.21;2.31;0.80;37.42489906;0.003736686;-0.005263158;0.000207015
2;190;0.28;1.00;6438.30;4422.33;67.77;46.55;0.36;0.25;2.20;0.80;42.90127562;0.004616622;-0.005263158;0.000190202
2;190;0.30;1.00;6825.60;5076.66;71.85;53.44;0.38;0.28;2.11;0.80;48.62902684;0.005754491;-0.005263158;0.00017564
2;190;0.32;1.00;7158.40;5776.11;75.35;60.80;0.40;0.32;2.03;0.81;54.57509212;0.005769354;-0.005263158;0.000162904
2;190;0.34;1.00;7685.10;6520.68;80.90;68.64;0.43;0.36;1.90;0.81;60.70413078;0.007790787;-0.005263158;0.000151671
2;190;0.36;1.00;7960.85;7310.39;83.80;76.95;0.44;0.41;1.86;0.82;66.97852214;0.008181299;-0.005263158;0.000141689
2;190;0.38;1.00;8356.05;8145.21;87.96;85.74;0.47;0.45;1.79;0.82;73.35836546;0.009357718;-0.005263158;0.00013276
2;190;0.40;1.00;8805.90;9025.17;92.69;95.00;0.49;0.50;1.71;0.83;79.80147995;0.010519114;-0.005263159;0.000124726
2;190;0.42;1.00;9124.00;9950.25;96.04;104.74;0.51;0.55;1.67;0.83;86.26340479;0.011331184;-0.005263677;0.000117453
2;190;0.44;1.00;9449.20;10920.45;99.47;114.95;0.53;0.61;1.62;0.83;92.69739911;0.011606583;-0.005326568;0.000110203
2;190;0.46;1.00;9796.15;11935.78;103.12;125.64;0.55;0.66;1.58;0.84;99.054442;0.013688192;-0.006643181;0.00009851
2;190;0.48;1.00;10133.35;12996.24;106.67;136.80;0.56;0.72;1.55;0.84;105.2832325;0.013223574;-0.010466503;0.000176326
2;190;0.50;1.00;10501.75;14101.82;110.54;148.44;0.58;0.79;1.51;0.85;111.3301897;0.015822647;-0.008530956;0.000148924
2;200;0.02;0.40;559.35;25.01;5.59;0.25;0.03;0.00;0.34;0.73;0.249970747;0.000139534;-0.000000001;0
2;200;0.04;1.00;1109.05;100.03;11.09;1.00;0.06;0.01;3.82;0.76;0.998682648;0.000257085;-0.000002743;0.000000011
2;200;0.06;1.00;1652.70;225.06;16.53;2.25;0.08;0.01;5.72;0.76;2.242534684;0.00041059;-0.000129972;0.000001905
2;200;0.08;1.00;2193.50;400.11;21.94;4.00;0.11;0.02;5.00;0.77;3.975525156;0.000639882;-0.001049926;0.000072991
2;200;0.10;1.00;2697.75;625.18;26.98;6.25;0.14;0.03;4.66;0.77;6.189251687;0.00069284;-0.002957792;0.000321415
2;200;0.12;1.00;3196.00;900.25;31.96;9.00;0.16;0.05;4.17;0.78;8.872911218;0.000960435;-0.004435049;0.000425808
2;200;0.14;1.00;3733.85;1225.35;37.34;12.25;0.19;0.06;3.73;0.78;12.01330001;0.001308375;-0.004921815;0.000379958
2;200;0.16;1.00;4279.70;1600.45;42.80;16.00;0.22;0.08;3.37;0.78;15.59481366;0.001830716;-0.004994723;0.000329016
2;200;0.18;1.00;4753.55;2025.57;47.54;20.26;0.24;0.10;3.08;0.79;19.59944705;0.00201035;-0.00499983;0.000289377
2;200;0.20;1.00;5208.80;2500.71;52.09;25.01;0.26;0.13;2.85;0.79;24.00679442;0.002386841;-0.004999997;0.000257768
2;200;0.22;1.00;5711.35;3025.86;57.11;30.26;0.29;0.15;2.67;0.79;28.79404931;0.002979118;-0.005;0.000231948
2;200;0.24;1.00;6205.50;3601.02;62.06;36.01;0.31;0.18;2.49;0.80;33.93600459;0.003878931;-0.005;0.000210457
2;200;0.26;1.00;6587.00;4226.20;65.87;42.26;0.33;0.21;2.35;0.80;39.40505245;0.00376686;-0.005;0.000192288
2;200;0.28;1.00;7135.00;4901.39;71.35;49.01;0.36;0.25;2.24;0.80;45.17118438;0.004317032;-0.005;0.000176726
2;200;0.30;1.00;7576.20;5626.59;75.76;56.27;0.38;0.28;2.10;0.81;51.20199123;0.005749164;-0.005;0.000163247
2;200;0.32;1.00;7902.30;6401.81;79.02;64.02;0.40;0.32;2.04;0.81;57.46266313;0.005356378;-0.005;0.000151457
2;200;0.34;1.00;8459.95;7227.05;84.60;72.27;0.43;0.36;1.92;0.81;63.91598955;0.00682773;-0.005;0.000141059
2;200;0.36;1.00;8801.85;8102.29;88.02;81.02;0.44;0.41;1.86;0.82;70.52235929;0.007680602;-0.005;0.000131818
2;200;0.38;1.00;9257.40;9027.55;92.57;90.28;0.47;0.45;1.79;0.82;77.23976046;0.009029117;-0.005;0.000123553
2;200;0.40;1.00;9785.25;10002.83;97.85;100.03;0.49;0.50;1.71;0.83;84.02378048;0.010330492;-0.005000026;0.000116116
2;200;0.42;1.00;10186.50;11028.12;101.87;110.28;0.51;0.55;1.67;0.83;90.8276061;0.011262098;-0.005012294;0.000109266
2;200;0.44;1.00;10465.35;12103.43;104.65;121.03;0.53;0.61;1.63;0.84;97.6020234;0.011235865;-0.005583634;0.000098576
2;200;0.46;1.00;10750.95;13228.74;107.51;132.29;0.54;0.66;1.59;0.84;104.2954178;0.011800046;-0.009314204;0.0001203
2;200;0.48;1.00;11242.00;14404.08;112.42;144.04;0.56;0.72;1.54;0.84;110.8537739;0.014299341;-0.011669997;0.000225856
2;200;0.50;1.00;11505.20;15629.42;115.05;156.29;0.58;0.79;1.52;0.85;117.2206759;0.01406322;-0.004629423;0.000040374
2;210;0.02;0.70;608.15;27.58;5.79;0.26;0.03;0.00;0.39;0.74;0.262532091;0.000120302;-0.000000002;0
2;210;0.04;0.95;1233.90;110.31;11.75;1.05;0.06;0.01;4.36;0.76;1.048867706;0.000293253;-0.000003463;0.000000011
2;210;0.06;1.00;1814.60;248.19;17.28;2.36;0.08;0.01;6.03;0.76;2.355224869;0.000377861;-0.000155265;0.000002768
2;210;0.08;1.00;2424.10;441.23;23.09;4.20;0.11;0.02;5.41;0.77;4.17530029;0.000653156;-0.00116933;0.000090986
2;210;0.10;1.00;2999.85;689.42;28.57;6.57;0.14;0.03;4.78;0.77;6.50026936;0.000788228;-0.003064805;0.0003395
2;210;0.12;1.00;3568.60;992.77;33.99;9.45;0.16;0.05;4.11;0.77;9.318786154;0.001065804;-0.00435267;0.000405314
2;210;0.14;1.00;4130.30;1351.27;39.34;12.87;0.19;0.06;3.72;0.78;12.61698343;0.001249148;-0.004714511;0.000353768
2;210;0.16;1.00;4671.55;1764.92;44.49;16.81;0.21;0.08;3.40;0.78;16.37847263;0.001461925;-0.004759328;0.000306235
2;210;0.18;1.00;5220.50;2233.73;49.72;21.27;0.24;0.10;3.08;0.78;20.58434389;0.001839587;-0.00476184;0.000269435
2;210;0.20;1.00;5752.10;2757.69;54.78;26.26;0.26;0.13;2.88;0.79;25.213166;0.002035958;-0.004761904;0.000240073
2;210;0.22;1.00;6300.65;3336.80;60.01;31.78;0.29;0.15;2.67;0.79;30.24098647;0.002597775;-0.004761905;0.000216087
2;210;0.24;1.00;6727.55;3971.07;64.07;37.82;0.31;0.18;2.52;0.80;35.64133146;0.003074071;-0.004761905;0.00019612
2;210;0.26;1.00;7344.10;4660.50;69.94;44.39;0.33;0.21;2.36;0.80;41.38520584;0.003964778;-0.004761905;0.00017924
2;210;0.28;1.00;7820.30;5405.07;74.48;51.48;0.36;0.25;2.22;0.80;47.44109315;0.004704834;-0.004761905;0.00016478
2;210;0.30;1.00;8383.40;6204.80;79.84;59.09;0.38;0.28;2.10;0.81;53.77495561;0.005944649;-0.004761905;0.000152256
2;210;0.32;1.00;8807.55;7059.69;83.88;67.24;0.40;0.32;2.03;0.81;60.35023414;0.00611975;-0.004761905;0.000141301
2;210;0.34;1.00;9286.55;7969.72;88.44;75.90;0.42;0.36;1.94;0.81;67.12784833;0.007457697;-0.004761905;0.000131639
2;210;0.36;1.00;9729.25;8934.92;92.66;85.09;0.44;0.41;1.87;0.82;74.06619644;0.007596868;-0.004761905;0.000123053
2;210;0.38;1.00;10192.15;9955.26;97.07;94.81;0.46;0.45;1.80;0.82;81.12115546;0.008087414;-0.004761906;0.000115373
2;210;0.40;1.00;10588.20;11030.76;100.84;105.05;0.48;0.50;1.74;0.83;88.246081;0.009131552;-0.004762756;0.000108454
2;210;0.42;1.00;10986.65;12161.41;104.63;115.82;0.50;0.55;1.69;0.83;95.39180741;0.009837115;-0.004875672;0.000101163
2;210;0.44;1.00;11463.05;13347.22;109.17;127.12;0.52;0.61;1.64;0.83;102.5066477;0.011236182;-0.007143873;0.00008972
2;210;0.46;1.00;11966.45;14588.18;113.97;138.94;0.55;0.66;1.58;0.84;109.5363935;0.013344152;-0.012999297;0.00022374
2;210;0.48;1.00;12427.05;15884.29;118.35;151.28;0.57;0.72;1.54;0.84;116.4243153;0.013986966;-0.00862773;0.000119052
2;210;0.50;1.00;12695.35;17235.56;120.91;164.15;0.58;0.79;1.52;0.85;123.1111621;0.014056054;-0.001594419;0.0000043
2;220;0.02;0.55;675.30;30.27;6.14;0.28;0.03;0.00;0.42;0.75;0.275093435;0.000116224;-0.000000002;0
2;220;0.04;1.00;1351.05;121.09;12.28;1.10;0.06;0.01;4.29;0.76;1.099052763;0.000256253;-0.000004187;0.000000012
2;220;0.06;1.00;2003.75;272.45;18.22;2.48;0.08;0.01;6.21;0.76;2.467915054;0.000383056;-0.000178731;0.000003687
2;220;0.08;1.00;2628.30;484.36;23.89;4.40;0.11;0.02;5.61;0.76;4.375075423;0.000466963;-0.001265862;0.000105376
2;220;0.10;1.00;3282.80;756.81;29.84;6.88;0.14;0.03;4.85;0.77;6.811287032;0.000695873;-0.003119584;0.000343663
2;220;0.12;1.00;3910.40;1089.81;35.55;9.91;0.16;0.05;4.19;0.77;9.764661089;0.000884635;-0.004241644;0.000382435
2;220;0.14;1.00;4580.05;1483.35;41.64;13.48;0.19;0.06;3.67;0.78;13.22066685;0.00142581;-0.004515445;0.000330296
2;220;0.16;1.00;5127.00;1937.43;46.61;17.61;0.21;0.08;3.36;0.78;17.16213161;0.001465736;-0.004544108;0.000285984
2;220;0.18;1.00;5773.85;2452.06;52.49;22.29;0.24;0.10;3.06;0.78;21.56924072;0.001983623;-0.004545428;0.000251694
2;220;0.20;1.00;6327.55;3027.24;57.52;27.52;0.26;0.13;2.86;0.79;26.41953758;0.002293042;-0.004545454;0.000224325
2;220;0.22;1.00;6884.75;3662.96;62.59;33.30;0.29;0.15;2.65;0.79;31.68792362;0.002695173;-0.004545455;0.000201964
2;220;0.24;1.00;7419.00;4359.22;67.45;39.63;0.31;0.18;2.53;0.80;37.34665832;0.003029413;-0.004545455;0.00018335
2;220;0.26;1.00;7963.05;5116.03;72.39;46.51;0.33;0.21;2.37;0.80;43.36535923;0.00339984;-0.004545455;0.000167612
2;220;0.28;1.00;8629.05;5933.39;78.45;53.94;0.36;0.25;2.24;0.80;49.71100191;0.004731028;-0.004545455;0.000154131
2;220;0.30;1.00;9133.55;6811.29;83.03;61.92;0.38;0.28;2.12;0.81;56.34791999;0.005409252;-0.004545455;0.000142454
2;220;0.32;1.00;9730.50;7749.73;88.46;70.45;0.40;0.32;2.01;0.81;63.23780515;0.006367766;-0.004545455;0.00013224
2;220;0.34;1.00;10138.75;8748.72;92.17;79.53;0.42;0.36;1.95;0.81;70.3397071;0.006640676;-0.004545455;0.000123232
2;220;0.36;1.00;10656.75;9808.25;96.88;89.17;0.44;0.41;1.86;0.82;77.61003359;0.008616657;-0.004545455;0.000115226
2;220;0.38;1.00;11257.50;10928.33;102.34;99.35;0.47;0.45;1.79;0.82;85.00255045;0.008087849;-0.004545479;0.000108064
2;220;0.40;1.00;11697.75;12108.95;106.34;110.08;0.49;0.50;1.73;0.83;92.46838153;0.009108214;-0.004560334;0.000101486
2;220;0.42;1.00;12082.75;13350.12;109.84;121.36;0.50;0.55;1.69;0.83;99.95600872;0.0099399;-0.005351156;0.000089984
2;220;0.44;1.00;12571.45;14651.84;114.29;133.20;0.52;0.61;1.64;0.84;107.411272;0.011055241;-0.010593995;0.000125362
2;220;0.46;1.00;13120.30;16014.09;119.28;145.58;0.54;0.66;1.58;0.84;114.7773693;0.013422219;-0.013038685;0.000228164
2;220;0.48;1.00;13479.20;17436.89;122.54;158.52;0.56;0.72;1.55;0.84;121.9948567;0.013048408;-0.004259988;0.000026893
2;220;0.50;1.00;13912.05;18920.24;126.47;172.00;0.58;0.79;1.52;0.84;129.0016483;0.013628833;-0.000290448;0.000000126
2;230;0.02;0.70;753.15;33.09;6.55;0.29;0.03;0.00;0.55;0.75;0.287654779;0.000133735;-0.000000047;0
2;230;0.04;1.00;1484.30;132.37;12.91;1.15;0.06;0.01;4.61;0.76;1.149237821;0.000259234;-0.000024387;0.000000103
2;230;0.06;1.00;2172.45;297.84;18.89;2.59;0.08;0.01;5.92;0.76;2.580605239;0.000355996;-0.000473999;0.000021513
2;230;0.08;1.00;2895.05;529.50;25.17;4.60;0.11;0.02;5.50;0.77;4.574850557;0.00055416;-0.002006113;0.00021182
2;230;0.10;1.00;3591.00;827.34;31.23;7.19;0.14;0.03;4.68;0.77;7.122304705;0.00064868;-0.0036022;0.000386867
2;230;0.12;1.00;4290.35;1191.37;37.31;10.36;0.16;0.05;4.10;0.77;10.21053603;0.001048101;-0.004234178;0.00036283
2;230;0.14;1.00;4980.70;1621.58;43.31;14.10;0.19;0.06;3.77;0.78;13.82435027;0.001305994;-0.004339757;0.000309239
2;230;0.16;1.00;5667.80;2117.99;49.29;18.42;0.22;0.08;3.33;0.78;17.94579059;0.001614898;-0.004347563;0.000267879
2;230;0.18;1.00;6258.15;2680.58;54.42;23.31;0.24;0.10;3.10;0.79;22.55413756;0.001638113;-0.004347822;0.000235826
2;230;0.20;1.00;6874.95;3309.35;59.78;28.78;0.26;0.13;2.94;0.79;27.62590916;0.002002937;-0.004347826;0.000210234
2;230;0.22;1.00;7561.45;4004.32;65.75;34.82;0.29;0.15;2.64;0.79;33.13486077;0.002839797;-0.004347826;0.000189323
2;230;0.24;1.00;8103.80;4765.47;70.47;41.44;0.31;0.18;2.51;0.80;39.05198519;0.002945622;-0.004347826;0.000171916
2;230;0.26;1.00;8849.50;5592.81;76.95;48.63;0.34;0.21;2.34;0.80;45.34551262;0.004351167;-0.004347826;0.000157198
2;230;0.28;1.00;9412.50;6486.33;81.85;56.40;0.36;0.25;2.23;0.80;51.98091067;0.004268532;-0.004347826;0.00014459
2;230;0.30;1.00;9971.00;7446.05;86.70;64.75;0.38;0.28;2.12;0.81;58.92088438;0.00484489;-0.004347826;0.000133668
2;230;0.32;1.00;10583.00;8471.95;92.03;73.67;0.40;0.32;2.01;0.81;66.12537616;0.006122912;-0.004347826;0.000124116
2;230;0.34;1.00;11132.70;9564.03;96.81;83.17;0.42;0.36;1.93;0.81;73.55156587;0.006745098;-0.004347826;0.00011569
2;230;0.36;1.00;11813.05;10722.31;102.72;93.24;0.45;0.41;1.85;0.82;81.15387074;0.008383155;-0.004347826;0.000108202
2;230;0.38;1.00;12238.60;11946.77;106.42;103.88;0.46;0.45;1.79;0.82;88.88394545;0.008269134;-0.004348449;0.000101498
2;230;0.40;1.00;12900.30;13237.41;112.18;115.11;0.49;0.50;1.72;0.83;96.69068206;0.010431835;-0.004462009;0.000094511
2;230;0.42;1.00;13239.90;14594.25;115.13;126.91;0.50;0.55;1.69;0.83;104.52021;0.010029508;-0.007186847;0.000081889
2;230;0.44;1.00;13854.40;16017.27;120.47;139.28;0.53;0.61;1.62;0.84;112.3158963;0.011339578;-0.014669127;0.000234962
2;230;0.46;1.00;14282.40;17506.48;124.19;152.23;0.54;0.66;1.59;0.84;120.0183451;0.01325972;-0.009240026;0.000110383
2;230;0.48;1.00;14815.50;19061.88;128.83;165.76;0.56;0.72;1.55;0.84;127.5653981;0.013185713;-0.001206733;0.000001944
2;230;0.50;1.00;15338.00;20683.46;133.37;179.86;0.58;0.79;1.50;0.85;134.8921346;0.014613619;-0.000041723;0.000000002
2;240;0.02;0.70;799.15;36.04;6.66;0.30;0.03;0.00;0.47;0.75;0.300216123;0.000114133;-0.000000045;0
2;240;0.04;1.00;1603.55;144.16;13.36;1.20;0.06;0.01;5.45;0.75;1.199422879;0.00022832;-0.000023647;0.000000093
2;240;0.06;1.00;2384.00;324.36;19.87;2.70;0.08;0.01;6.72;0.76;2.693295424;0.0003629;-0.000462752;0.000018965
2;240;0.08;1.00;3148.20;576.65;26.24;4.81;0.11;0.02;5.46;0.77;4.77462569;0.000493551;-0.001957889;0.000193517
2;240;0.10;1.00;3911.95;901.01;32.60;7.51;0.14;0.03;4.64;0.77;7.433322378;0.000676036;-0.003489145;0.00036368
2;240;0.12;1.00;4672.40;1297.45;38.94;10.81;0.16;0.05;4.16;0.78;10.65641096;0.000990477;-0.004070481;0.000340946
2;240;0.14;1.00;5380.85;1765.98;44.84;14.72;0.19;0.06;3.81;0.78;14.42803369;0.001182424;-0.004160562;0.000290397
2;240;0.16;1.00;6142.35;2306.58;51.19;19.22;0.21;0.08;3.42;0.78;18.72944957;0.001586893;-0.004166497;0.000251621
2;240;0.18;1.00;6837.25;2919.27;56.98;24.33;0.24;0.10;3.09;0.79;23.5390344;0.001796022;-0.004166665;0.000221566
2;240;0.20;1.00;7565.55;3604.04;63.05;30.03;0.26;0.13;2.85;0.79;28.83228074;0.002377675;-0.004166667;0.000197566
2;240;0.22;1.00;8246.20;4360.88;68.72;36.34;0.29;0.15;2.68;0.79;34.58179792;0.00318372;-0.004166667;0.000177956
2;240;0.24;1.00;9036.70;5189.81;75.31;43.25;0.32;0.18;2.46;0.80;40.75731205;0.003364657;-0.004166667;0.000161629
2;240;0.26;1.00;9612.65;6090.82;80.11;50.76;0.34;0.21;2.33;0.80;47.32566601;0.003952814;-0.004166667;0.000147825
2;240;0.28;1.00;10245.60;7063.91;85.38;58.87;0.36;0.25;2.22;0.80;54.25081944;0.004660294;-0.004166667;0.000136
2;240;0.30;1.00;10849.05;8109.08;90.41;67.58;0.38;0.28;2.14;0.81;61.49384876;0.005053929;-0.004166667;0.000125756
2;240;0.32;1.00;11519.50;9226.33;96.00;76.89;0.40;0.32;2.01;0.81;69.01294717;0.006105829;-0.004166667;0.000116796
2;240;0.34;1.00;12091.75;10415.66;100.76;86.80;0.42;0.36;1.93;0.82;76.76342464;0.006972695;-0.004166667;0.000108893
2;240;0.36;1.00;12679.00;11677.07;105.66;97.31;0.44;0.41;1.87;0.82;84.6977079;0.007153658;-0.004166672;0.000101869
2;240;0.38;1.00;13375.50;13010.57;111.46;108.42;0.47;0.45;1.80;0.82;92.76534045;0.00971145;-0.00417346;0.00009553
2;240;0.40;1.00;13866.60;14416.14;115.56;120.13;0.48;0.50;1.74;0.83;100.9129826;0.008777833;-0.004755663;0.000085654
2;240;0.42;1.00;14371.65;15893.79;119.76;132.45;0.50;0.55;1.69;0.83;109.0844113;0.010172789;-0.010912948;0.00011318
2;240;0.44;1.00;15090.70;17443.53;125.76;145.36;0.53;0.61;1.63;0.84;117.2205206;0.012062201;-0.014716631;0.000239117
