Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;Degree variance;Normalized degree variance;Average difference of vertex probability;Vertex probability difference variance
2;40;0.12;0.80;130.05;35.29;6.50;1.76;0.17;0.05;1.04;0.76;1.738912249;0.003784435;0;0.000002806
2;40;0.14;1.00;146.50;48.03;7.33;2.40;0.19;0.06;1.63;0.76;2.354365329;0.004383794;-0.000000005;0.000004134
2;40;0.16;1.00;176.60;62.73;8.83;3.14;0.23;0.08;1.74;0.78;3.056270013;0.005873603;-0.000000093;0.000005993
2;40;0.18;1.00;187.85;79.39;9.39;3.97;0.24;0.10;2.09;0.78;3.841097663;0.006184665;-0.000001176;0.000008516
2;40;0.20;1.00;206.65;98.02;10.33;4.90;0.26;0.13;1.94;0.79;4.704849158;0.005548241;-0.000009965;0.00001185
2;40;0.22;1.00;226.75;118.60;11.34;5.93;0.29;0.15;2.10;0.80;5.643054891;0.007408366;-0.000060229;0.000016392
2;40;0.24;1.00;241.20;141.15;12.06;7.06;0.31;0.18;1.96;0.79;6.65077477;0.00728764;-0.00027079;0.000024662
2;40;0.26;1.00;258.35;165.65;12.92;8.28;0.33;0.21;2.06;0.79;7.722598219;0.006093935;-0.000934419;0.000048751
2;40;0.28;1.00;276.60;192.11;13.83;9.61;0.35;0.25;1.94;0.81;8.852644176;0.008344017;-0.002535958;0.00011766
2;40;0.30;1.00;298.10;220.54;14.91;11.03;0.38;0.28;1.96;0.81;10.0345611;0.009296515;-0.005526652;0.000254954
2;40;0.32;1.00;306.20;250.93;15.31;12.55;0.39;0.32;1.94;0.81;11.26152695;0.010191815;-0.009868962;0.000442756
2;40;0.34;1.00;327.60;283.27;16.38;14.16;0.42;0.36;1.82;0.81;12.52624921;0.010007725;-0.014770524;0.000641166
2;40;0.36;1.00;341.10;317.58;17.06;15.88;0.44;0.41;1.82;0.82;13.82096489;0.009832676;-0.019037847;0.000807894
2;40;0.38;1.00;368.20;353.84;18.41;17.69;0.47;0.45;1.73;0.82;15.13744049;0.014611275;-0.021777871;0.000893281
2;40;0.40;1.00;382.80;392.07;19.14;19.60;0.49;0.50;1.68;0.83;16.46697205;0.017095332;-0.022652536;0.000872701
2;40;0.42;1.00;388.65;432.26;19.43;21.61;0.50;0.55;1.60;0.83;17.80038512;0.013257479;-0.021444855;0.00074942
2;40;0.44;1.00;414.75;474.41;20.74;23.72;0.53;0.61;1.56;0.83;19.12803474;0.015022272;-0.017679042;0.000581636
2;40;0.46;1.00;414.70;518.51;20.74;25.93;0.53;0.66;1.56;0.83;20.43980549;0.01422025;-0.011343974;0.000572167
2;40;0.48;1.00;444.50;564.58;22.23;28.23;0.57;0.72;1.48;0.84;21.72511147;0.017018738;-0.004363834;0.000721583
2;40;0.50;1.00;458.00;612.61;22.90;30.63;0.59;0.79;1.45;0.85;22.97289628;0.018078731;0.000470437;0.000813709
2;50;0.02;0.00;32.60;1.54;1.30;0.06;0.03;0.00;0.04;0.29;0.061550586;0.000487697;0;0
2;50;0.04;0.05;72.60;6.16;2.90;0.25;0.06;0.01;0.17;0.59;0.245906783;0.00135117;0;0.000000021
2;50;0.06;0.30;102.30;13.85;4.09;0.55;0.08;0.01;0.36;0.70;0.552181907;0.001594935;0;0.00000021
2;50;0.08;0.80;138.60;24.63;5.54;0.99;0.11;0.02;0.69;0.76;0.978898154;0.002058842;0;0.000000656
2;50;0.10;0.95;162.80;38.48;6.51;1.54;0.13;0.03;1.22;0.76;1.523986596;0.002409196;-0.000000028;0.000001198
2;50;0.12;1.00;198.60;55.42;7.94;2.22;0.16;0.05;1.74;0.77;2.184787184;0.002988888;-0.000000679;0.000001864
2;50;0.14;0.95;235.65;75.43;9.43;3.02;0.19;0.06;1.92;0.78;2.958048747;0.003769396;-0.000008494;0.000002825
2;50;0.16;1.00;260.90;98.52;10.44;3.94;0.21;0.08;2.38;0.77;3.839928991;0.003556385;-0.000064233;0.000004369
2;50;0.18;1.00;289.05;124.69;11.56;4.99;0.24;0.10;2.60;0.80;4.8259945;0.004070504;-0.000323123;0.000009242
2;50;0.20;1.00;323.30;153.94;12.93;6.16;0.26;0.13;2.46;0.78;5.911220737;0.004849613;-0.001154816;0.0000339
2;50;0.22;1.00;348.00;186.27;13.92;7.45;0.28;0.15;2.16;0.80;7.089992042;0.005253544;-0.003077601;0.000124212
2;50;0.24;1.00;392.10;221.67;15.68;8.87;0.32;0.18;2.19;0.80;8.356101634;0.007528263;-0.006358987;0.000330504
2;50;0.26;1.00;403.35;260.16;16.13;10.41;0.33;0.21;2.14;0.80;9.702751608;0.006465639;-0.010554539;0.000630824
2;50;0.28;1.00;431.95;301.72;17.28;12.07;0.35;0.25;2.06;0.81;11.12255294;0.006644298;-0.014599242;0.000903239
2;50;0.30;1.00;467.25;346.36;18.69;13.85;0.38;0.28;1.94;0.80;12.60752548;0.009168513;-0.017536441;0.001029802
2;50;0.32;1.00;494.70;394.08;19.79;15.76;0.40;0.32;1.87;0.82;14.14909796;0.009859592;-0.01913095;0.001015757
2;50;0.34;1.00;520.50;444.88;20.82;17.80;0.42;0.36;1.87;0.81;15.73810798;0.010686381;-0.019769349;0.000943789
2;50;0.36;1.00;538.60;498.76;21.54;19.95;0.44;0.41;1.83;0.82;17.36480204;0.009750771;-0.0199546;0.000867879
2;50;0.38;1.00;575.55;555.72;23.02;22.23;0.47;0.45;1.72;0.82;19.01883549;0.01283182;-0.019992927;0.000800139
2;50;0.40;1.00;578.35;615.75;23.13;24.63;0.47;0.50;1.74;0.83;20.68927258;0.010577926;-0.019997758;0.000739728
2;50;0.42;1.00;643.95;678.87;25.76;27.15;0.53;0.55;1.63;0.83;22.36458643;0.014566631;-0.01998927;0.000685328
2;50;0.44;1.00;638.35;745.06;25.53;29.80;0.52;0.61;1.60;0.84;24.03265903;0.014446347;-0.019909059;0.000636105
2;50;0.46;1.00;670.45;814.33;26.82;32.57;0.55;0.66;1.52;0.84;25.68078126;0.015533661;-0.01936841;0.000581807
2;50;0.48;1.00;696.00;886.68;27.84;35.47;0.57;0.72;1.50;0.84;27.29565288;0.015687863;-0.016877247;0.000482635
2;50;0.50;1.00;698.95;962.11;27.96;38.48;0.57;0.79;1.52;0.84;28.86338251;0.015473486;-0.01000367;0.000532151
2;60;0.02;0.00;49.65;2.22;1.66;0.07;0.03;0.00;0.04;0.34;0.07411193;0.000399933;0;0
2;60;0.04;0.10;102.90;8.90;3.43;0.30;0.06;0.01;0.20;0.64;0.29609184;0.001026333;0;0.000000021
2;60;0.06;0.50;148.25;20.02;4.94;0.67;0.08;0.01;0.52;0.72;0.664872092;0.001272703;0;0.000000183
2;60;0.08;0.95;192.80;35.59;6.43;1.19;0.11;0.02;1.22;0.76;1.178673288;0.001598423;-0.000000032;0.000000493
2;60;0.10;0.95;241.45;55.61;8.05;1.85;0.14;0.03;2.03;0.77;1.835004269;0.002232708;-0.000001095;0.000000854
2;60;0.12;1.00;284.60;80.07;9.49;2.67;0.16;0.05;2.47;0.78;2.63066212;0.002342718;-0.000015954;0.00000137
2;60;0.14;1.00;332.60;108.99;11.09;3.63;0.19;0.06;2.70;0.77;3.561732165;0.002894251;-0.000125073;0.000002764
2;60;0.16;1.00;376.10;142.35;12.54;4.75;0.21;0.08;2.84;0.79;4.623587968;0.003343835;-0.000604897;0.000013373
2;60;0.18;1.00;420.10;180.16;14.00;6.01;0.24;0.10;2.42;0.78;5.810891337;0.003669986;-0.001974837;0.000074968
2;60;0.20;1.00;459.55;222.42;15.32;7.41;0.26;0.13;2.47;0.78;7.117592316;0.004197437;-0.004648646;0.000263386
2;60;0.22;1.00;509.15;269.13;16.97;8.97;0.29;0.15;2.34;0.79;8.536929194;0.005613633;-0.008333309;0.000576979
2;60;0.24;1.00;544.30;320.29;18.14;10.68;0.31;0.18;2.34;0.80;10.0614285;0.004910179;-0.01198636;0.000863575
2;60;0.26;1.00;591.00;375.90;19.70;12.53;0.33;0.21;2.22;0.80;11.682905;0.00614884;-0.014614043;0.000982004
2;60;0.28;1.00;634.45;435.95;21.15;14.53;0.36;0.25;2.11;0.81;13.3924617;0.007177775;-0.015985277;0.000955286
2;60;0.30;1.00;677.35;500.46;22.58;16.68;0.38;0.28;2.02;0.81;15.18048986;0.007880127;-0.016500436;0.000879772
2;60;0.32;1.00;689.70;569.41;22.99;18.98;0.39;0.32;2.00;0.81;17.03666897;0.007148329;-0.016637744;0.000805686
2;60;0.34;1.00;757.35;642.81;25.25;21.43;0.43;0.36;1.88;0.82;18.94996675;0.011828035;-0.016663177;0.000741018
2;60;0.36;1.00;790.85;720.66;26.36;24.02;0.45;0.41;1.81;0.82;20.90863919;0.010636934;-0.016666377;0.000684025
2;60;0.38;1.00;808.45;802.95;26.95;26.77;0.46;0.45;1.76;0.82;22.90023049;0.009725286;-0.016666648;0.000633149
2;60;0.40;1.00;842.25;889.70;28.08;29.66;0.48;0.50;1.70;0.83;24.91157311;0.009592949;-0.016666653;0.000587402
2;60;0.42;1.00;885.15;980.89;29.51;32.70;0.50;0.55;1.69;0.83;26.92878774;0.01264935;-0.01666644;0.000546045
2;60;0.44;1.00;933.20;1076.54;31.11;35.88;0.53;0.61;1.62;0.84;28.93728332;0.013489163;-0.016663534;0.000508551
2;60;0.46;1.00;963.45;1176.63;32.12;39.22;0.54;0.66;1.56;0.84;30.92175703;0.014710572;-0.016631445;0.000474919
2;60;0.48;1.00;1003.90;1281.17;33.46;42.71;0.57;0.72;1.54;0.84;32.86619428;0.016273517;-0.016329173;0.000442613
2;60;0.50;1.00;1054.50;1390.15;35.15;46.34;0.60;0.79;1.47;0.84;34.75386873;0.018723387;-0.01423814;0.000377414
2;70;0.02;0.00;69.95;3.03;2.00;0.09;0.03;0.00;0.05;0.42;0.086673274;0.000374908;0;0
2;70;0.04;0.30;136.35;12.14;3.90;0.35;0.06;0.01;0.22;0.68;0.346276898;0.000698276;0;0.000000021
2;70;0.06;0.75;202.30;27.31;5.78;0.78;0.08;0.01;0.79;0.74;0.777562277;0.001147015;-0.00000001;0.000000157
2;70;0.08;0.95;258.95;48.56;7.40;1.39;0.11;0.02;1.75;0.76;1.378448421;0.001253347;-0.000000619;0.000000377
2;70;0.10;0.95;332.95;75.87;9.51;2.17;0.14;0.03;2.65;0.77;2.146021942;0.002024107;-0.000012642;0.000000655
2;70;0.12;1.00;384.90;109.25;11.00;3.12;0.16;0.05;3.16;0.77;3.076537056;0.001515579;-0.000118316;0.000001636
2;70;0.14;1.00;462.85;148.70;13.22;4.25;0.19;0.06;2.74;0.77;4.165415583;0.002978246;-0.000621479;0.000012277
2;70;0.16;1.00;526.55;194.23;15.04;5.55;0.22;0.08;2.71;0.78;5.407246946;0.003400975;-0.00207441;0.000081838
2;70;0.18;1.00;582.75;245.82;16.65;7.02;0.24;0.10;2.66;0.78;6.795788173;0.003719438;-0.004798483;0.000298601
2;70;0.20;1.00;634.50;303.48;18.13;8.67;0.26;0.13;2.55;0.79;8.323963895;0.00381231;-0.008255094;0.000631029
2;70;0.22;1.00;702.95;367.21;20.08;10.49;0.29;0.15;2.40;0.80;9.983866345;0.005606994;-0.01129548;0.000871281
2;70;0.24;1.00;742.05;437.01;21.20;12.49;0.31;0.18;2.27;0.79;11.76675536;0.004879236;-0.013170353;0.000915525
2;70;0.26;1.00;791.80;512.88;22.62;14.65;0.33;0.21;2.25;0.80;13.66305839;0.005830768;-0.013982093;0.000854261
2;70;0.28;1.00;865.45;594.82;24.73;16.99;0.36;0.25;2.14;0.80;15.66237047;0.006799703;-0.014227133;0.000778221
2;70;0.30;1.00;919.10;682.83;26.26;19.51;0.38;0.28;2.07;0.81;17.75345425;0.006938493;-0.014277951;0.000711461
2;70;0.32;1.00;967.95;776.90;27.66;22.20;0.40;0.32;1.99;0.81;19.92423998;0.007336094;-0.014285032;0.000653734
2;70;0.34;1.00;1034.40;877.05;29.55;25.06;0.43;0.36;1.86;0.82;22.16182552;0.009598584;-0.014285676;0.000602993
2;70;0.36;1.00;1074.15;983.27;30.69;28.09;0.44;0.41;1.83;0.82;24.45247634;0.009948253;-0.014285713;0.000557945
2;70;0.38;1.00;1128.30;1095.56;32.24;31.30;0.47;0.45;1.76;0.83;26.78162549;0.011431821;-0.014285714;0.000517671
2;70;0.40;1.00;1168.70;1213.91;33.39;34.68;0.48;0.50;1.72;0.83;29.13387363;0.010470695;-0.014285713;0.000481448
2;70;0.42;1.00;1240.35;1338.34;35.44;38.24;0.51;0.55;1.64;0.83;31.49298905;0.013132792;-0.014285677;0.000448693
2;70;0.44;1.00;1251.40;1468.83;35.75;41.97;0.52;0.61;1.63;0.83;33.84190761;0.010576838;-0.014285032;0.000418949
2;70;0.46;1.00;1300.30;1605.40;37.15;45.87;0.54;0.66;1.59;0.84;36.1627328;0.014391909;-0.014277565;0.000391994
2;70;0.48;1.00;1392.30;1748.03;39.78;49.94;0.58;0.72;1.53;0.84;38.43673568;0.016882176;-0.014213926;0.000368533
2;70;0.50;1.00;1419.40;1896.74;40.55;54.19;0.59;0.79;1.50;0.85;40.64435496;0.01760017;-0.013696249;0.000344369
2;80;0.02;0.00;89.15;3.97;2.23;0.10;0.03;0.00;0.06;0.51;0.099234618;0.000333385;0;0
2;80;0.04;0.30;174.60;15.88;4.37;0.40;0.06;0.01;0.27;0.70;0.396461956;0.000665488;0;0.000000021
2;80;0.06;0.90;264.10;35.74;6.60;0.89;0.08;0.01;0.82;0.76;0.890252462;0.001121996;-0.000000042;0.000000133
2;80;0.08;0.90;345.20;63.54;8.63;1.59;0.11;0.02;1.94;0.76;1.578223554;0.001307162;-0.000002416;0.000000296
2;80;0.10;1.00;424.70;99.27;10.62;2.48;0.13;0.03;3.06;0.77;2.457039614;0.001496154;-0.00004207;0.000000622
2;80;0.12;1.00;513.10;142.96;12.83;3.57;0.16;0.05;3.18;0.78;3.522411991;0.001976035;-0.000326681;0.000005627
2;80;0.14;1.00;583.70;194.58;14.59;4.86;0.18;0.06;3.18;0.78;4.769099;0.002375411;-0.001393868;0.000059683
2;80;0.16;1.00;679.90;254.14;17.00;6.35;0.22;0.08;2.90;0.78;6.190905924;0.003054418;-0.003734843;0.000274461
2;80;0.18;1.00;748.10;321.65;18.70;8.04;0.24;0.10;2.85;0.78;7.78068501;0.003401488;-0.006951656;0.00061604
2;80;0.20;1.00;840.90;397.10;21.02;9.93;0.27;0.13;2.62;0.79;9.530335474;0.004279292;-0.009837597;0.000834352
2;80;0.22;1.00;910.80;480.49;22.77;12.01;0.29;0.15;2.51;0.79;11.4308035;0.004329515;-0.011568017;0.000850718
2;80;0.24;1.00;961.90;571.82;24.05;14.30;0.30;0.18;2.44;0.79;13.47208223;0.004441806;-0.012268726;0.000781984
2;80;0.26;1.00;1035.55;671.09;25.89;16.78;0.33;0.21;2.31;0.80;15.64321178;0.00544121;-0.012460357;0.000708618
2;80;0.28;1.00;1117.90;778.31;27.95;19.46;0.35;0.25;2.15;0.80;17.93227923;0.006000921;-0.012495436;0.000645851
2;80;0.30;1.00;1200.25;893.47;30.01;22.34;0.38;0.28;2.05;0.81;20.32641863;0.007771386;-0.012499658;0.00059197
2;80;0.32;1.00;1277.65;1016.57;31.94;25.41;0.40;0.32;1.94;0.81;22.81181099;0.00819806;-0.012499984;0.000544956
2;80;0.34;1.00;1331.25;1147.61;33.28;28.69;0.42;0.36;1.91;0.82;25.3736843;0.00915647;-0.0125;0.000503519
2;80;0.36;1.00;1395.95;1286.60;34.90;32.16;0.44;0.41;1.84;0.82;27.99631349;0.009838482;-0.0125;0.000466716
2;80;0.38;1.00;1445.00;1433.52;36.13;35.84;0.46;0.45;1.78;0.82;30.66302048;0.009033608;-0.0125;0.000433809
2;80;0.40;1.00;1530.70;1588.39;38.27;39.71;0.48;0.50;1.71;0.83;33.35617416;0.011730512;-0.0125;0.00040421
2;80;0.42;1.00;1603.10;1751.20;40.08;43.78;0.51;0.55;1.67;0.83;36.05719036;0.012457439;-0.012499993;0.000377442
2;80;0.44;1.00;1653.65;1921.95;41.34;48.05;0.52;0.61;1.64;0.83;38.7465319;0.011901243;-0.012499805;0.000353123
2;80;0.46;1.00;1708.95;2100.64;42.72;52.52;0.54;0.66;1.59;0.84;41.40370856;0.013693934;-0.012496857;0.000330996
2;80;0.48;1.00;1785.35;2287.28;44.63;57.18;0.56;0.72;1.54;0.84;44.00727708;0.014879191;-0.012468097;0.000311345
2;80;0.50;1.00;1862.45;2481.86;46.56;62.05;0.59;0.79;1.48;0.84;46.53484118;0.016122011;-0.012264507;0.000295761
2;90;0.02;0.00;108.45;5.03;2.41;0.11;0.03;0.00;0.06;0.53;0.111795962;0.000289292;0;0
2;90;0.04;0.60;217.75;20.13;4.84;0.45;0.05;0.01;0.38;0.71;0.446647013;0.000549086;-0.000000003;0.00000002
